,Recursive,Iterative
1,0.027092329051317053,0.10891059386581377
2,0.17861314669691802,0.04335550501273335
3,0.04338772783862055,0.00913430041828484
4,0.07784546741601962,0.017457448860665987
5,-0.013706518597042801,0.014903276055489486
6,-0.0030353297328082206,-0.0033345202658494276
7,0.03663403814027199,-0.002522040616437624
8,-0.017435284282384854,0.023984747802401944
9,-0.005488123547049884,-0.001324361329559098
10,0.014395547355003865,0.004950842303085605
11,0.0022468256692215888,0.008769017601474303
12,0.012955369917430015,0.007978005589005042
13,0.005613081725015368,-0.011314352302749223
14,0.002750251750690537,0.0020859557415223357
15,0.016419361015378713,0.0002391195994921443
16,0.012679246908825166,0.1547537773201281
17,0.005034558739427286,0.012596406693782505
18,0.0022942037557780385,-0.004005480781442773
19,0.004001572223798514,0.006617760640219565
20,0.0030724187602625104,0.012232707173345576
21,0.0017930515974482713,-0.0001705011462112477
22,0.004879388655916962,0.020590835965725505
23,0.002585741121949609,-0.025073500218044793
24,0.004242432598324878,-0.06372156799989959
25,0.0056544650450812495,-0.051783050924655294
26,0.003879049596913212,0.011295768141392791
27,0.0010427633812300594,0.032071792566721546
28,0.0015642959036656827,-0.13534765380789182
29,0.0012186443831645848,0.11864506222889773
30,-0.0019138982113069594,-0.024463139188306452
,Recursive,Iterative
1,0.05732418328941531,-0.18219613695989573
2,0.02256810704321752,-0.01350020291749061
3,0.015511598232457279,0.012148514040342992
4,-0.01675702853672992,0.12148948365887643
5,0.03989944842277065,0.021365124873063725
6,-0.021377813475913516,0.006194530362766464
7,0.011347060580524468,-0.0010284189458872465
8,-0.04106031513590192,0.017709121787439584
9,-0.034705853551002315,-0.015295017187926864
10,-0.01231630949735097,-0.05880843629944396
11,-0.006310157069199529,-0.035599092202232084
12,-0.014627603670629234,-0.021666586907034123
13,-0.006890474313006956,-0.015650850530265038
14,-0.013779878005872824,-0.05214926983047468
15,-0.013082179013914464,-0.013637889570437335
16,-0.010600417138029164,0.24786382050983355
17,-0.004632705015641998,0.0625500338798349
18,-0.00415884364311586,0.02120668260539397
19,-0.003149341803832892,0.002510384323217925
20,-0.00261428516122325,-0.021430957686372567
21,-0.0050483070313144425,0.010457956607340963
22,-0.009104309079013388,0.00808923840209738
23,-0.008440514006565265,0.025523474999796732
24,-0.017072715408040864,0.03422988251109906
25,-0.011530135180571272,0.038477219928209155
26,-0.006208518800371283,-0.05717355002187424
27,-0.014648850251639868,-0.012113528229134363
28,-0.009700541919209844,0.16462562839222616
29,-0.0032704148668285947,-0.004158124908232259
30,-0.00012775418179380573,-0.013049710369095436
